,index,id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name,full_question,full_question_test,res_finetuned
10,10,c2ab77ef-9fba-47cd-9f6e-cd4e2404f3f0,"While drilling an implant, bone necrosis occurs at what temperatures:",65,35,45,55,C,single,,Dental,,,"Question: While drilling an implant, bone necrosis occurs at what temperatures: (A) 65 (B) 35 (C) 45 (D) 55. The correct answer is  "," (B) 35.

Explanation: Bone necrosis, or bone death, can occur when the drilling process causes damage to the bone tissue. The temperature at which bone necrosis occurs depends on various factors, including the type of drill bit used, the speed of drilling, and the duration of drilling. Generally, bone necrosis occurs at temperatures between 30°C to 40°C (86°F to 104°F). Therefore, the correct answer is (B) 35°C."
11,11,45d2b684-c55a-400b-ab09-76ee3a9ba64b,Extraction of disto-angular impaction of mandibular 3rd molar can cause:,Slippage in lingual pouch,# of ramus of mandible,Excessive Haemorrhage,Dry socket,B,single,,Surgery,,,Question: Extraction of disto-angular impaction of mandibular 3rd molar can cause: (A) Slippage in lingual pouch (B) # of ramus of mandible (C) Excessive Haemorrhage (D) Dry socket. The correct answer is  ," (A) Slippage in lingual pouch.


Answer: The correct answer is (A) Slippage in lingual pouch.

Extraction of disto-angular impaction of mandibular 3rd molar can cause slippage in the lingual pouch, which is a potential complication of the procedure. The lingual pouch is a space located between the mandible and the maxilla, and it can become compressed or displaced during the extraction process, leading to slippage of the mandible. This can result in discomfort, pain, and difficulty opening the mouth.
Option (B), the number of ramus of the mandible, is incorrect because the mandible is a single bone and does not have multiple ramus.
Option (C), excessive haemorrhage, can occur during extraction of the mandibular 3rd molar, but it is not a direct complication of disto-angular impaction.
Option (D), dry socket, can occur during extraction of any tooth, including the mandibular 3rd molar, but it is not a direct complication of disto-angular impaction."
12,12,888d0ff6-14ae-4f05-af6b-8e7060ba016f,Which of the following hormones is controlled by feedforward control?,ADH,Insulin,Coicosteroids,Prolactin,A,single,"Ans. A. ADHOsmolarity and volume status are the two greatest factors that affect ADH secretion.However, a variety of other factors promote ADH secretion as well.These include angiotensin II, pain, nausea, hypoglycemia, nicotine, opiates, and ceain medications.ADH secretion is also negatively affected by ethanol, alpha-adrenergic agonists, and atrial natriuretic peptide.Ethanol's inhibitory effect helps to explain the increased diuresis experienced during intoxicated states as well as increased free water loss; without appropriate ADH secretion, more water is excreted by the kidneys.",Physiology,,,Question: Which of the following hormones is controlled by feedforward control? (A) ADH (B) Insulin (C) Coicosteroids (D) Prolactin. The correct answer is  ," (A) ADH.
Feedforward control is a type of control mechanism in which the output of one system is used as the input to another system. In the context of hormone regulation, feedforward control refers to the way in which the output of one hormone can influence the secretion of another hormone.
ADH (antidiuretic hormone) is controlled by feedforward control. When ADH levels are high, it stimulates the kidneys to reabsorb water, which in turn reduces the amount of urine produced. This feedback loop helps to maintain proper fluid balance in the body.
Insulin, coicosteroids, and prolactin are not controlled by feedforward control. Insulin is controlled by a complex feedback loop involving the pancreatic beta cells, liver, and peripheral tissues. Coicosteroids are controlled by a feedback loop involving the hypothalamus and the adrenal glands. Prolactin is controlled by a feedback loop involving the hypothalamus and the pituitary gland.
Therefore, the correct answer is (A) ADH."
13,13,c31b85f2-e3c3-4122-a330-2d5452dfb836,Counter bevel in tooth should not be given in,Facial surface of premolar,Occlusal surface of premolar,Lingual surface of premolar,Any surface of premolar,A,single,Direct lines: “A counter bevel is not placed on the facial cusps of maxillary premolars and first molars due to esthetic considerations”.,Dental,,,Question: Counter bevel in tooth should not be given in (A) Facial surface of premolar (B) Occlusal surface of premolar (C) Lingual surface of premolar (D) Any surface of premolar. The correct answer is  ," (B) Occlusal surface of premolar.
Explanation:
Counter bevel is a feature that is commonly found on the occlusal surface of teeth, particularly on the premolars. It is a small, rounded depression on the occlusal surface of the tooth, usually found on the facial surface of the premolar. The counter bevel helps to distribute the forces of mastication more evenly across the tooth surface, reducing the risk of wear and tear on the tooth. Therefore, option (B) Occlusal surface of premolar is the correct answer."
14,14,fbeaf59e-0828-4af8-8b1b-024f50e88857,Which of the following movement(s) is /are involved in the opening of the mouth?,Only hinge (rotation),Only translation,Hinge followed by translation,Translation followed by hinge,C,single,,Dental,,,Question: Which of the following movement(s) is /are involved in the opening of the mouth? (A) Only hinge (rotation) (B) Only translation (C) Hinge followed by translation (D) Translation followed by hinge. The correct answer is  ," (C) Hinge followed by translation.
Explanation: The movement involved in the opening of the mouth is a combination of hinge and translation movements. The lower jaw (mandible) moves back and forth in a hinge-like motion, while the upper jaw (maxilla) moves forward and backward in a translational motion. This combination of movements allows the mouth to open and close. Therefore, the correct answer is (C) Hinge followed by translation."
15,15,8a82f9e4-b38f-43f6-9d8d-4ef8a6a4bcbf,"40-year male patient who was a known smoker presents in AIIMS OPD with fever, latigue, jaundice, yellow colored urine with clay colored stools. For the past few days he had developed aversion to cigarette smoking. On examination scleral icterus was present. LFT are:Total Bill18.5Direct Bill7.5SGOT723SGPT812What investigations will you send for ruling out acute viral hepatitis?","HBsAg, IgM antiHBC, AntiHCV AntiHEV","AntiHAV, HBsAg, IgM antiHBc, AntiHCV","HBsAg, IgM antiHBC,AntiHDV AntiHCV AntiHEV","AntiHAV IgMantiHBC, AntiHCV, AntiHEV.",B,single,"Ans: B. AntiHAV, HBsAg, IgM antiHBc, AntiHCVRef: Harrison, I8't' ed., pg. 328, 2549-2552, 2550t, 2551tHB- sAgIgM Anti- HAVIgM Anti- HBcAnti-HCVDiagnostic Interpretation+ + Acute hepatitis B Chronic hepatitis B++ Acute hepatitis A superim? posed on chronic hepatitis B+++ Acute hepatitis A and B--+ Acute hepatitis A--++ Acute hepatitis A and B (HBsAg below detection threshold) + Acute hepatitis B (HBsAg below detection threshold) Acute hepatitis C",Medicine,,,"Question: 40-year male patient who was a known smoker presents in AIIMS OPD with fever, latigue, jaundice, yellow colored urine with clay colored stools. For the past few days he had developed aversion to cigarette smoking. On examination scleral icterus was present. LFT are:Total Bill18.5Direct Bill7.5SGOT723SGPT812What investigations will you send for ruling out acute viral hepatitis? (A) HBsAg, IgM antiHBC, AntiHCV AntiHEV (B) AntiHAV, HBsAg, IgM antiHBc, AntiHCV (C) HBsAg, IgM antiHBC,AntiHDV AntiHCV AntiHEV (D) AntiHAV IgMantiHBC, AntiHCV, AntiHEV.. The correct answer is  "," (C) HBsAg, IgM antiHBC, AntiHCV, AntiHDV.
Answer: (C) HBsAg, IgM antiHBC, AntiHCV, AntiHDV.
Explanation:
The patient's symptoms of fever, fatigue, jaundice, yellow colored urine, and clay colored stools are consistent with acute viral hepatitis. The patient's history of smoking increases the likelihood of viral hepatitis as a cause of liver disease. The laboratory results show elevated levels of total bilirubin (TBil) and direct bilirubin (DBil), which are consistent with hepatocellular injury. The SGOT and SGPT levels are also elevated, which can indicate liver damage.
To rule out acute viral hepatitis, the following investigations are recommended:
1. HBsAg: This test detects the presence of hepatitis B surface antigen (HBsAg) in the blood, which can indicate acute or chronic hepatitis B infection.
2. IgM anti-HBc: This test detects the presence of IgM antibodies against the hepatitis B core antigen (HBc), which can indicate acute hepatitis B infection.
3. Anti-HCV: This test detects the presence of antibodies against the hepatitis C virus (HCV), which can indicate acute or chronic hepatitis C infection.
4. Anti-HDV: This test detects the presence of antibodies against the hepatitis D virus (HDV), which can indicate acute or chronic hepatitis D infection.
The patient's history of smoking does not increase the likelihood of HDV infection, as HDV is primarily transmitted through blood transfusions or mother-to-child transmission during childbirth. Therefore, Anti-HDV is not necessary in this case.
The patient's symptoms and laboratory results are consistent with acute viral hepatitis, and the above investigations are recommended to rule out the possibility of other causes of liver disease, such as acute liver failure or drug-induced liver injury."
16,16,8ef7b269-b6d6-4c45-b706-df1e87744c90,Lefort 1 osteotomy essentially involves osteotomy of how many bones?,2,3,4,5,D,multi,,Surgery,,,Question: Lefort 1 osteotomy essentially involves osteotomy of how many bones? (A) 2 (B) 3 (C) 4 (D) 5. The correct answer is  ," (A) 2.
Lefort 1 osteotomy is a surgical procedure that involves the osteotomy of the maxilla and zygoma bones. It is typically performed to treat severe facial fractures or deformities, such as those caused by a blow to the face or a motor vehicle accident. The goal of the procedure is to restore the normal anatomy of the face and improve facial function and appearance.
The answer (A) 2 is correct because Lefort 1 osteotomy involves the osteotomy of two bones: the maxilla and zygoma."
17,17,7b08c0f1-55fc-45d7-b4e1-b6e4666a1f88,A 26 years old patient c/o foul smelling greyish white discharge diagnosed to be Gardnerella vaginalis infection. Microscopic finding is suggestive of?,Group of bacilli arranged in chain forms,Bacteria found to be engulfed by macrophages,Bacteria adherent to lining vaginal epithelial cells,Bacteria arranged in cluster forms,C,single,"Ans C. Bacteria adherent to lining vaginal epithelial cellsGardnerella vaginalis, facultatively anaerobic gram-variable rod, is one of the organisms responsible for bacterial vaginosis (BV).The vaginal discharge of BV is characteristically described as a thin, gray, homogeneous fluid that is adherent to the vaginal mucosa. A fishy vaginal odour, which is paicularly noticeable following coitusis present.Demonstration of clue cells on a saline smear is the most specific criterion for diagnosing BV.The whiff test may be positive in up to 70% of BV patients.The vaginal discharge of patients with BV is notable for its lack of polymorphonuclear leukocytes (PMNs), typically 1 or less than 1 PMN per vaginal epithelial cell.",Gynaecology & Obstetrics,,,Question: A 26 years old patient c/o foul smelling greyish white discharge diagnosed to be Gardnerella vaginalis infection. Microscopic finding is suggestive of? (A) Group of bacilli arranged in chain forms (B) Bacteria found to be engulfed by macrophages (C) Bacteria adherent to lining vaginal epithelial cells (D) Bacteria arranged in cluster forms. The correct answer is  ,"
Answer: C. Bacteria adherent to lining vaginal epithelial cells.
Explanation: Gardnerella vaginalis is a gram-negative, anaerobic bacterium that can cause vaginal infections. Microscopic examination of a smear of the discharge can reveal the presence of Gardnerella organisms adherent to the lining vaginal epithelial cells. This is the most common finding in Gardnerella infections.
Option A is incorrect because Gardnerella organisms do not form chain-like structures.
Option B is incorrect because while macrophages may engulf Gardnerella organisms, this is not a typical finding in vaginal infections.
Option D is incorrect because Gardnerella organisms do not typically form clusters."
18,18,bcc3680a-8167-4c75-ba0c-b7c94cb440b6,All of the following are done to remove Confounding except,Randomization,Random Selection,Matching,Blinding,B,multi,"Confounding factor - related to both the exposure and the outcome It leads to mistaken outcomes in the study, which leads to error in the study. Endemic Goitre is usually found in high altitudes, showing thereby an association between the two. However, we know that the goiter is not because of altitude but because of environmental deficiency of Iodine. Methods used to control confounding: Methods used to control confounding: METHOD UTILITY IN CONTROLLING CONFOUNDING 1. Randomization Most ideal method 2. Restriction Limiting study to people who have paicular characteristics 3. Matching Mostly useful in case control studies 4. Stratification Useful for larger studies 5. Statistical Modeling When many confounding variables exist simultaneously 6. Blinding Bias is also a type of confounding",Social & Preventive Medicine,AIIMS 2019,,Question: All of the following are done to remove Confounding except (A) Randomization (B) Random Selection (C) Matching (D) Blinding. The correct answer is  ," (A) Randomization.

Explanation:
Randomization is the process of randomly assigning participants to different groups or treatment conditions. This helps to remove confounding variables because it ensures that the groups are similar in terms of all relevant factors, except for the variable being studied (the treatment or intervention).
Random selection and matching are also methods for removing confounding, but they are not as effective as randomization. Random selection involves selecting participants for a study based on some arbitrary criteria, such as their availability or willingness to participate. This can lead to biases in the study results if the selected participants are not representative of the population of interest. Matching involves finding participants who are similar in terms of certain characteristics and then assigning them to different groups. While this can help to reduce confounding, it can be difficult to find suitable matches for all participants, and it may not be possible to find perfect matches.
Blinding is a method for removing confounding that involves concealing the identity of the treatment or intervention from the participants. This can help to reduce bias in the study results, but it is not a foolproof method for removing confounding. Blinding may not be possible or practical in all studies, and it may not be effective in studies where the treatment or intervention is obvious or easily identifiable.
Therefore, the correct answer is (A) Randomization."
19,19,e8f48ed7-e417-422a-acde-9f7cb2c25416,Impression compound is characterized by all the following except:,Warps at room temperature,Is a thermoset material,Shows increased flow when kneaded with water,Low coefficient of thermal conductivity,B,multi,Impression compound is not a thermoset material.,Dental,,,Question: Impression compound is characterized by all the following except: (A) Warps at room temperature (B) Is a thermoset material (C) Shows increased flow when kneaded with water (D) Low coefficient of thermal conductivity. The correct answer is  ," (B) Is a thermoset material. Impression compound is a thermosetting material, meaning that it undergoes a chemical reaction that causes it to harden and set in a fixed position when heated and cooled. This reaction cannot be reversed, so once the compound has hardened, it cannot be melted and reformed like a thermoplastic. Therefore, the correct answer is (B) Is a thermoset material."
20,20,f0f91922-12fd-4213-871c-19e47532a6d6,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:",Chi square test,Paired T-test,Student's T-test,Fischer exact test,C,single,"Ans: C. Student's T-test(Ref Park 22/e p795; Biostatistics by Mahajan 7/e p134)Here, comparing a parametric quantitative variable (weight) in two unrelated group of people.Hence, ""Student's t-test"" used.Student t-test:Used when outcome variable is normally distributed in population (for quantitative data).Ex: BP, blood glucose.",Social & Preventive Medicine,,,"Question: In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is: (A) Chi square test (B) Paired T-test (C) Student's T-test (D) Fischer exact test. The correct answer is  "," (B) Paired T-test.
Explanation:
In this study, the newborns are checked for their weights based on whether their mothers received food supplements or not. This is an example of a paired data, as each newborn has a corresponding mother. The paired T-test is the appropriate test to use in this case, as it takes into account the correlation between the measurements of the same newborn.
The other options are not appropriate for this study:
(A) Chi square test: This test is used to compare the distribution of categorical variables between two or more groups. In this study, the data is continuous, so the Chi square test is not applicable.
(C) Student's T-test: This test is used to compare the means of two independent groups. In this study, the data is paired, so the Student's T-test is not applicable.
(D) Fischer exact test: This test is used to compare the proportions of two independent groups. In this study, the data is not categorical, so the Fischer exact test is not applicable."
